text,Sentiment,Sentiment_Label,Sentiment_Code
upbeat music,0.0,Neutral,0
"- all right, so you've seen the unboxing.",0.2857142857142857,Positive,1
now it's time for the breakdown.,0.0,Neutral,0
"what is using the apple
vision pro actually like?",0.0,Neutral,0
"this is easily one of apple's
craziest, most radical,",0.4666666666666667,Positive,1
possibly dystopian products of all time.,0.0,Neutral,0
"and i have a lot of thoughts here,",0.0,Neutral,0
"like i've been using it
for about a week now.",0.0,Neutral,0
there are some parts of this thing,0.0,Neutral,0
"that are absolutely incredible,",0.9,Positive,1
"and some other parts that feel weird,",-0.3125,Negative,0
or borderline unfinished.,0.0,Neutral,0
"there are all kinds of new technologies,",0.13636363636363635,Positive,1
"from a new operating system
to infrared eye tracking",0.13636363636363635,Positive,1
"to virtually reconstructed
versions of you.",0.0,Neutral,0
"i feel like there are so
many actually new things",0.3181818181818182,Positive,1
"that you have to understand
in order to get a sense",0.0,Neutral,0
"of what this headset
actually is and what it does.",0.0,Neutral,0
"so i'm gonna break this
down into two parts.",-0.15555555555555559,Negative,0
"this video is all about
using the vision pro.",0.0,Neutral,0
"it's everything i've
learned from the past week",-0.25,Negative,0
"of wearing and getting used to
this thing every single day.",-0.07142857142857142,Negative,0
"but i'm also working
on a more wide ranging,",0.2,Positive,1
"possibly more existential, review video.",0.5,Positive,1
but let's just start with the more,0.5,Positive,1
"hardware fundamentals, right?",0.2857142857142857,Positive,1
"like what is this thing
that i'm holding literally?",0.0,Neutral,0
"apple vision pro at its core,",0.0,Neutral,0
"well, it is a vr headset.",0.0,Neutral,0
"now, apple would never say that,",0.0,Neutral,0
"and they probably won't like
that i'm saying that word.",0.0,Neutral,0
"you know, i made an entire video",0.0,Neutral,0
"about why they refuse to use those words,",0.0,Neutral,0
"and they're calling it
spatial computing instead.",0.0,Neutral,0
we'll get there.,0.0,Neutral,0
"but the truth is it's a
really, really, really high end",0.16,Positive,1
virtual reality headset.,0.0,Neutral,0
"it's something we've seen before, right?",0.2857142857142857,Positive,1
it's got displays and lenses and speakers,0.0,Neutral,0
and fans and buttons.,0.0,Neutral,0
and this is a form factor.,0.0,Neutral,0
"this is a thing that we have seen before,",0.0,Neutral,0
